Name,SMILES,Affinity
brd4_chemdiv4079,c1(c(c2c(o1)c(c1c(c(cc(=O)o1)c1ccccc1)c2)C)c1ccc(cc1)Cl)c1ccccc1,-10.977
brd4_chemdiv1637,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(c(cc2)C)C)cccc1,-10.937
brd4_chemdiv1638,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(cc(c2)C)C)cccc1,-10.903
brd4_chemdiv1636,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2c(c(ccc2)C)C)cccc1,-10.872
brd4_chemdiv1318,n12c(nnc2C)c2c(c(n1)c1cc(S(=O)(=O)N3CCOCC3)c(cc1)C)cccc2,-10.812
CHEMBL3654283,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,-10.81
brd_enamine9035,Cc1nonc1NC(=O)c1cc(nc2ccccc12)c1cccc2ccccc12,-10.799
brd_enamine11556,Cc1noc2nc(cc(C(=O)Nc3nc4ccccc4[nH]3)c12)c1ccc(C)cc1,-10.62
brd4_chemdiv3088,c1(c(c2c(o1)c(c1c(c(cc(=O)o1)c1ccccc1)c2)C)c1cc(c(cc1)OC)F)c1ccccc1,-10.611
brd_enamine10962,Cc1noc2nc(cc(C(=O)Nc3cccc(c3)C3(C)NC(=O)NC3=O)c12)C1CC1,-10.601
brd_enamine5335,Cc1n[nH]c2nc(C)cc(c3nc(no3)c3cccc(c3)C3(C)NC(=O)NC3=O)c12,-10.564
hll_enamine18974,Cc1ccc2nc(cc(C(=O)N3CCC(CC3)C3(C)COC(=O)N3)c2c1)C1CC1,-10.535
hll_enamine43113,Cc1nnc2c3ccccc3c(nn12)N1CCc2ccccc2C1,-10.513
brd_enamine7846,Cc1cc(C)c2nc(cc(C(=O)N3CCN4C(C3)C(=O)NC4=O)c2c1)C1CC1,-10.465
brd4_chemdiv3020,c12c(c3c(o1)CCCC3)cc1c(c2C)oc(=O)cc1c1ccc(cc1)OC,-10.409
brd4_chemdiv1635,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(OC)ccc2)cccc1,-10.384
brd_enamine9240,O=C1N(Cc2c1cccc2c1cccc2ncccc12)C1CCC(=O)NC1=O,-10.35
CHEMBL4207024,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3cc(C(F)(F)F)nc4ccccc34)c12,-10.307
brd4_chemdiv4186,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(c(cc2)C)C)scc1,-10.28
brd_enamine10895,CC1(NC(=O)NC1=O)c1cccc(CNc2ccc3nnc(c4ccccc4F)n3n2)c1,-10.273
brd_enamine5653,Cc1c(Cc2ccccc2Cl)c(NC2CCCCC2)n2c3ccccc3nc2c1C#N,-10.248
brd4_chemdiv3521,c12c(c(c3c(c(co3)c3ccc(cc3)Br)c2)C)oc(=O)cc1c1ccccc1,-10.246
hll_enamine254750,O=C(N1CCC(CC1)C1C(=O)Nc2ccccc12)c1cccc(c1)N1C(=O)c2ccccc2C1=O,-10.237
