Name,SMILES
ab_enamine0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O
ab_enamine1,N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CO
ab_enamine2,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)N)/c1ccco1
ab_enamine3,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O
ab_enamine4,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)c1csc(N)n1
ab_enamine5,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(=O)O
ab_enamine6,CC(NC(=O)OCC1CCCCC1)C(CCC(=O)O)C(=O)O
ab_enamine7,CCOC(=O)NCC(=O)N[C@@H]1CCC(=O)N[C@H]1C1CCNCC1
ab_enamine8,OCCc1c([nH]n(c2ccc(cc2)[N+](=O)[O-])c1=O)C(=O)O
ab_enamine9,CN1CC=CCOCC2(CCNC2)C(=O)NCC2(CCOCC2)NC(=O)c2cccc(c2)S1(=O)=O.OC(=O)C(F)(F)F
ab_enamine10,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c2ccccc2)C(=O)C1=O
ab_enamine11,CC1OCCC=CCOCC2(CCNC2)C(=O)NCCN(C)C1=O.OC(=O)C(F)(F)F
ab_enamine12,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)/c1csc(N)n1
ab_enamine13,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(=O)O
ab_enamine14,CCCS(=O)(=O)NC1CCN(Cc2ccc3oc(cc3c2)C(=O)O)CC1
ab_enamine15,OC(=O)C1CN(C2CCN(C2)C(=O)OCC(F)(F)F)C(=O)C1
ab_enamine16,OC(=O)c1cnc(o1)C1CCN(CC1)C(=O)OCCCF
ab_enamine17,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(=O)O
ab_enamine18,CC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(=O)O
ab_enamine19,OC1CNCC1CNC(=O)c1cc([nH]n1)[N+](=O)[O-]
ab_enamine20,OC(=O)C(F)(F)F.O=C1CCCOCC=CCC2(CCNC2)C(=O)N2CC(N1)C1(CC1)C2
ab_enamine21,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O
ab_enamine22,OC(=O)c1cn(CCNC(=O)OC2CCCCC2)c(=O)[nH]c1=O
ab_enamine23,OC(=O)C(CC1CCOC1)NS(=O)(=O)c1ccc2OCCCOc2c1
ab_enamine24,Cc1cc(ccc1S(=O)(=O)N)C(=O)N1CCCC1C(=O)O
ab_enamine25,CCC(CNC(=O)C1CCS(=O)(=O)N1)(C(=O)O)c1ccccc1
ab_enamine26,O=C1CC[C@@H](NS(=O)(=O)CC2CCC2)[C@@H](N1)C1CCNCC1
ab_enamine27,COCC(NS(=O)(=O)N1CCC(CC1)C(=O)O)c1cccc(OC)c1
ab_enamine28,Cc1ccc(cn1)S(=O)(=O)Nc1cccc(c1)C(=O)CCC(=O)O
ab_enamine29,CNC(=O)NC(=O)CCN1CCCC(CNS(=O)(=O)C)C1
ab_enamine30,COCC1(CC1)S(=O)(=O)N[C@@H]1C[C@@H]2CC(C[C@H]12)C(=O)O
ab_enamine31,COc1cc(NS(=O)(=O)c2c(C)nn(C)c2C)c(cc1OC)C(=O)O
ab_enamine32,CCN(CC)S(=O)(=O)Nc1cc(OC)c(OC)cc1C(=O)O
ab_enamine33,CN1CCCC(CCNC(=O)C2CCCN(C2)S(=O)(=O)N)C1
ab_enamine34,CS(=O)(=O)NCCCNC1CCN(C(=O)C1)c1ccccc1
ab_enamine35,OC(=O)C1C[C@@H]2C[C@H](NS(=O)(=O)N3CCCCC3)[C@@H]2C1
ab_enamine36,CCC1CCN(CC1)S(=O)(=O)NCC1(CCOCC1)C(=O)O
ab_enamine37,COc1ccc(cc1C(=O)O)S(=O)(=O)NC[C@@H]1CCO[C@H]1c1ccnn1C
ab_enamine38,Cc1cc(cc(c1C)S(=O)(=O)N)C(=O)N1CCOC(CC(=O)O)C1
ab_enamine39,COC(=O)c1cc(oc1C)S(=O)(=O)NCC(C)C(=O)O
ab_enamine40,[O-][N+](=O)c1ccccc1S(=O)(=O)N1CCC2C(C1)NC(=O)N2C1CCNCC1
ab_enamine41,CCCS(=O)(=O)Nc1ccc(cc1)C(=O)N[C@@H](C)C(=O)O
ab_enamine42,COc1cc(Cl)c(cc1OC)S(=O)(=O)NCC(=O)O
ab_enamine43,COc1ccc(cc1CC(=O)O)S(=O)(=O)Nc1c(C)ccn(C)c1=O
ab_enamine44,CCN(C)CC1CCN(C1)c1nc(NCCOC)nc(n1)N1CCC(CN(C)CC)C1
ab_enamine45,OC(CNS(=O)(=O)N1CCCC(C1)C(=O)O)Cc1ccccc1
ab_enamine46,Cn1cc(NS(=O)(=O)c2ccc(OCC(=O)O)cc2)c(n1)C1CC1
ab_enamine47,Cl.CNCC1CCCN(C1)S(=O)(=O)c1cccc(c1)S(=O)(=O)N
ab_enamine48,CC(N(C)C(=O)c1ccc(cc1)S(=O)(=O)NCC1CCCO1)C(=O)O
ab_enamine49,OC(=O)C1(CCC1)NC(=O)CCNS(=O)(=O)c1cccs1
ab_enamine50,OC(=O)CCNS(=O)(=O)c1cccnc1C(F)(F)F
ab_enamine51,OC(=O)C1(CNS(=O)(=O)c2ccsc2C#N)CCOCC1
