Name,SMILES,Affinity
ab_enamine18517,Clc1ccc2cc1S(=O)(=O)N(C/C=C/COCC1(CCNCC1)C(=O)N1C[C@@H](Cc3ccccc3)[C@H](C1)NC2=O)c1ccccc1,-9.294
ab_enamine2976,Cc1cccc(NC(=O)c2ccccc2NS(=O)(=O)c2ccc3NC(=O)CC(=O)Nc3c2)c1,-9.289
ab_enamine3409,FC(F)(F)c1cc(NS(=O)(=O)c2ccc3NC(=O)CC(=O)Nc3c2)ccc1Cl,-9.265
ab_enamine23346,[O-][N+](=O)c1ccc2[nH]nc(C(=O)Nc3cccc(c3)c3nnnn3C3CC3)c2c1,-9.236
ab_enamine1430,O=C1CC(=O)Nc2cc(ccc2N1)S(=O)(=O)Nc1ccc2nc(sc2c1)N1CCOCC1,-9.2
ab_enamine23651,[O-][N+](=O)c1ccc(o1)C(=O)Nc1cccc2oc(nc12)C(F)(F)F,-9.154
ab_enamine8520,Cc1noc2nc(C)cc(C(=O)N3CCc4c(NS(=O)(=O)C)cccc4C3)c12,-9.144
ab_enamine16179,O=C(NS(=O)(=O)c1ccc2NC(=O)CCc2c1)c1ccc2OCCc2c1,-9.061
ab_enamine24036,[O-][N+](=O)c1cc(Cl)ccc1S(=O)(=O)Nc1cccc2oc(nc12)C(F)(F)F,-9.044
ab_enamine4390,Clc1ccc(Oc2ccccc2)c(NS(=O)(=O)c2ccc3NC(=O)CC(=O)Nc3c2)c1,-9.034
ab_enamine19006,[O-][N+](=O)c1cc2ccccc2nc1N1CCN(CC1)C(=O)c1ccc(=O)[nH]c1,-9.031
ab_enamine6383,O=C(NS(=O)(=O)Cc1cccc2cccnc12)c1cnc2ccccn2c1=O,-9.007
ab_enamine13182,CCn1c(=O)c(=O)[nH]c2cc(ccc12)C(=O)NC(C)c1ccc(cc1)S(=O)(=O)N,-9.004
ab_enamine17280,Cc1cccc(CC(=O)NS(=O)(=O)c2cccc(c2)c2nnco2)c1,-8.995
