Name,SMILES
dds5_enamine0,CC1(C)CN([C@@H]2CCC[C@H]12)C(=O)CCc1c[nH]nn1
dds5_enamine1,CC(C)(C)CCN1CCN(CC1)c1ncnc2nc[nH]c12
dds5_enamine2,Cc1nn(C)c2ncc(NC(=O)N3C[C@H](F)[C@H](F)C3)cc12
dds5_enamine3,CN(C1CC(C)(C)CC(C)(C)C1)C(=O)c1cc2c(=O)[nH]cnc2cn1
dds5_enamine4,COCC1(CSc2nnc(o2)c2ccoc2C)CCCC1
dds5_enamine5,CCCCN(C)S(=O)(=O)N[C@H]1CCCNC1
dds5_enamine6,Cc1[nH]c2ncnc(NC(=O)c3cncnc3)c2c1C
dds5_enamine7,Cn1cnc(c1)[C@@H]1CN(C[C@H]1N)S(=O)(=O)c1ccccc1F
dds5_enamine8,COc1cc(CNC(=O)Cc2ncc[nH]2)c2ccccc2n1
dds5_enamine9,Cc1nn(c(=O)c2nc(N)sc12)C12CC(C1)C2
dds5_enamine10,Cc1[nH]c2ncnc(NC(=O)c3ccnnc3)c2c1C
dds5_enamine11,CCN1CCN(CC1=O)C(=O)NC(C)c1ccccn1
dds5_enamine12,Nc1ncc(cn1)C(=O)N(CCC(=O)N1CCNCC1)Cc1cccc(Cl)c1.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
dds5_enamine13,Nc1ncncc1CNC(=O)Nc1ccccc1OCCn1ccnc1
dds5_enamine14,Clc1cccc(c1)C1=CCN(CC1)C(=O)c1ccc(cc1)n1cncn1
dds5_enamine15,Cc1nc2c(=O)[nH]c(SCC(=O)Nc3ccc(Cl)cc3)nc2nc1O
dds5_enamine16,COc1ccc(cc1OC)N(C)C(=O)Cn1nnc2ccccc12
dds5_enamine17,C[C@@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2CCCCc12
dds5_enamine18,CC1N(Cc2ccccc12)C(=O)CCc1c(C)n[nH]c1C
dds5_enamine19,Cc1ccncc1NC(=O)C1CCOc2ccc(Cl)cc12
dds5_enamine20,Clc1ccc(cc1Cl)C1(CCC1)C(=O)Nc1ccn(CC(=O)N2CCOCC2)n1
dds5_enamine21,Cc1nc(CNC(=O)c2ccccc2C2CCC2)sc1C(=O)O
dds5_enamine22,C[C@@H]1C[C@H]1n1nnnc1c1cccc(C)c1NC(=O)CCc1cccnc1
dds5_enamine23,CC(C)CC(C)(C)C(=O)N1CCn2c(C)nc(C3CCN(C)CC3)c2C1
dds5_enamine24,Fc1ccc2c(NC(=O)C34CC(C3)Oc3c4cc(Cl)cc3)cncc2c1
dds5_enamine25,COc1ccccc1NC1CN(C1)C(=O)c1cc(=O)[nH]c2ccccc12
dds5_enamine26,CCC(=O)N1CCC(C1)NC(=O)c1cncnc1
dds5_enamine27,N#Cc1ccc2cc(ccc2c1)c1nc(Cc2ccno2)no1
dds5_enamine28,Cc1ccc(o1)C(O)CNC(=O)c1sc(nc1C)c1ncccn1
dds5_enamine29,CC(C)NC(=O)Nc1cccc(c1)c1nc(no1)c1ccc(cc1)c1cc[nH]n1
dds5_enamine30,CC1CCCC(C1)C(=O)Nc1nc2ccccc2c(=O)[nH]1
dds5_enamine31,CC1(C)CN(Cc2nc(C#N)cs2)Cc2ccccc2O1
dds5_enamine32,O=C(N1CCCC(C1)C1CC1)c1ccsc1
dds5_enamine33,FC(F)(F)C(=O)NCC1CCCN(C1)c1nc(nc2ccccc12)c1cccnc1
dds5_enamine34,Cc1cc(NC(=O)CN2CCCC3(CCOCC3)C2)n(n1)C1CCS(=O)(=O)C1
dds5_enamine35,CC(Nc1cnn(CC2CCCO2)c1)C(=O)NCCc1ccccc1C
dds5_enamine36,CC1(CNC(=O)N2CCC(CC2)c2noc3cc(F)ccc23)CCC1
dds5_enamine37,COc1cccc(c1)C1(CNC(=O)N2CCCC2c2ccccc2OC)CC1
dds5_enamine38,COCC(C)(C)C(=O)NCC1CCCCN(Cc2ccccc2)C1
dds5_enamine39,Cc1ccc2c(CCNC(=O)N3CCC[C@H]3CN3CCOCC3)c[nH]c2c1
dds5_enamine40,Cc1cc(cc(C)c1F)S(=O)(=O)Nc1cccc(c1)C(=O)N1CCCC1
dds5_enamine41,CC(C)c1ccc(cc1)C1(CCCC1)C(=O)NC1CCCN(C1=O)c1ccn(C)n1
dds5_enamine42,O=C(NCCn1c(=O)[nH]c2ccccc12)N1CCCC(C1)C1CC1
dds5_enamine43,CC(C)(C)c1cc(no1)C(=O)N1CCCN(CC1)C1CCCC1
dds5_enamine44,CCC(CNC(=O)C(F)(F)c1ccccc1OCC(=O)N(C)C)OC
dds5_enamine45,CC(C)n1cc(cn1)S(=O)(=O)N1CCCC1Cc1ccccc1Cl
dds5_enamine46,CNC(=O)C1(CC1)C(=O)Nc1nc2ccc3scnc3c2s1
dds5_enamine47,Cn1cnn(CC(=O)NC2(COC2)c2ccccc2)c1=O
dds5_enamine48,FC(F)COc1ccnc(CNC(=O)N2C[C@@H]3CCC[C@@H]3C2)c1
dds5_enamine49,Cc1cnc(NCc2nc(C)cc(=O)[nH]2)nc1
dds5_enamine50,Clc1n[nH]c(=O)cc1N1CCC(CC1)Nc1ccccn1
dds5_enamine51,CN1CC[C@@H]2CCN([C@@H]2C1)c1nnc(s1)C1CC1
dds5_enamine52,NC(=O)c1cc(ncn1)N1CCCC1c1cncc(Br)c1
dds5_enamine53,CCN1CCCC(Nc2cc(nc3ncnn23)C(F)(F)F)C1=O
dds5_enamine54,COc1nc(C)cc(n1)N1CCN(CC1)c1cccc2[nH]c(=O)[nH]c12
dds5_enamine55,CC(C)(C)n1ncc2c(ncnc12)N1CCCC1c1ncccn1
dds5_enamine56,COC(=O)c1ccc(CN2CCc3ncncc3C2)cc1C
dds5_enamine57,CC1(C)CC(C1)C(=O)Nc1ncc(C#N)s1
dds5_enamine58,CC(C)c1nnc2C(C)N(CCn12)C(=O)NCC1CCCC(C)(C)O1
dds5_enamine59,Cn1cc2c(NC3CCC(CC3)N3CCCCC3=O)ncnc2n1
dds5_enamine60,Fc1ccc(cc1F)S(=O)(=O)CCNC(=O)C1CC1
dds5_enamine61,Cc1cn(CC(O)COc2ccc(F)cc2)nn1
dds5_enamine62,NCCC1CCN(C1)c1nc(no1)c1cc(Cl)cc(Cl)c1
dds5_enamine63,COc1ccccc1c1cn(CCC2CCS(=O)(=O)C2)nn1
dds5_enamine64,CN(Cc1cn(CCc2cc(Cl)cc(Cl)c2)nn1)C(=O)C
dds5_enamine65,CCn1ccnc1[C@@H]1OCCC[C@H]1NC(=O)c1cccc(Cl)c1
dds5_enamine66,O=C(CCC1CCNCC1)NS(=O)(=O)c1cccc2ncccc12
dds5_enamine67,O[C@@H]1CNC[C@H]1CC(=O)NCc1cc(OC2CCC2)ccn1
dds5_enamine68,O[C@@H]1CC(Cn2ccnc2)C[C@H]1NC(=O)c1ccc(N2CCCC2)c(C#N)c1
dds5_enamine69,C[C@@H]1COC[C@@](CO)(CNC(=O)c2cc3COCCn3c2)N1C
dds5_enamine70,OCC1(CCCNC1)NC(=O)[C@@H]1C[C@H]1c1cccc2ccccc12
dds5_enamine71,CNC(=O)C1(CC1)NC(=O)c1cc(ccc1F)c1cc[nH]n1
dds5_enamine72,NC(=O)C1(CCN(Cc2nc(no2)c2cc(F)c(F)c(F)c2)C1)c1ccccc1
dds5_enamine73,Cc1nc(cn1C)S(=O)(=O)N1CCC(Cc2ccc(Cl)cc2)CC1
