Name,SMILES
dds1_enamine0,CCC(O)(C(=O)N1CCC(CC1)C(=O)N1CCOCC1)c1cccc(Cl)c1
dds1_enamine1,CCC(NC(=O)Cc1c(C)nn(C)c1C)(C(=O)O)c1ccc(Cl)cc1
dds1_enamine2,COc1cc(c(Cl)cc1C(=O)O)S(=O)(=O)NC(C)C1CCOC1
dds1_enamine3,Fc1cc(C#N)cnc1NCC1CCC(O1)c1nc(n[nH]1)C1CC1
dds1_enamine4,OC(=O)C12COCC1CN(C2)C(=O)C1(CCOCC1)C1CC1
dds1_enamine5,CC1CC(C1)NS(=O)(=O)c1cc(F)ccc1NCC(=O)N(C)C
dds1_enamine6,CC(=O)N1CC2(C1)C(CCS2(=O)=O)C(=O)N1CCc2ccccc2C1
dds1_enamine7,CC(C)C1CN(CCCO1)S(=O)(=O)c1cnn(c1)C(C)C
dds1_enamine8,CN1CCCC2(CCN(CC(=O)Nc3ccc4CCCc4c3)C2)C1
dds1_enamine9,Cc1nsc(N2CCN(CC2)C(=O)Cc2ccc(C)cc2)c1C#N
dds1_enamine10,CCCN(CC1COc2ccccc2O1)c1ncnc2n(C)cnc12
dds1_enamine11,Nc1ncnc2n(CCC(=O)NC3COc4ccccc4C3)cnc12
dds1_enamine12,CC(C)(C)c1ncc(NC(=O)N2CCOCC2)cn1
dds1_enamine13,CCn1nc(cc1C(=O)NC1CCOC(C)(C)C1)C(C)C
dds1_enamine14,Brc1cccc(c1)C1(CNc2ncccn2)CCOCC1
dds1_enamine15,CCOc1cnc(cn1)c1noc(n1)C1CCN(CC1)S(=O)(=O)NC
dds1_enamine16,Cc1cc(C2OCCO2)c(C)cc1CNC1CCOC(C)(C)C1
dds1_enamine17,CN(C)C(=O)c1ccc(NC(=O)N2CCC(C2)c2noc(C)n2)cc1
dds1_enamine18,CCOc1ccc(cc1)C(CO)N(C)S(=O)(=O)c1cccc2cnccc12
dds1_enamine19,Cc1csc(=O)n1CCC(=O)N1CCC(CCN2CCOCC2)CC1
dds1_enamine20,O=C(C1CC(=NO1)c1ccccc1)N1CCCC1c1cccnc1
dds1_enamine21,Cn1cc(cn1)N1CCN(CC1)C(=O)C1CC2CCCC(C1)C2N
dds1_enamine22,O=C(Cn1c(=O)sc2ccccc12)N1CCN(CC1)C(=O)C1CC1
dds1_enamine23,COC(C)(C(=O)NC1CCN(CC2CCOC2)CC1)c1ccccc1F
dds1_enamine24,Cn1cc(cn1)C1CN(CCC(C)(C)C2CC2)CC1N
dds1_enamine25,Cc1c(C)c2nnc(n2nc1NCC1CCCN1S(=O)(=O)C)C(F)(F)F
dds1_enamine26,Cc1ccc(cc1)c1cc([nH]n1)C(=O)NC1(CO)CC1
dds1_enamine27,CC(=O)N1CCC(CNC(=O)c2cc[nH]c2C2CC2)CC1
dds1_enamine28,CC(C)C1CCCN(C1)C(=O)NCc1cc2ccccc2n(C)c1=O
dds1_enamine29,CCN1CCC(CNc2ncnc3ccccc23)CC1
